日期,尖峰負載(MW)
20190201,24709
20190202,23382
20190203,22915
20190204,20214
20190205,19992
20190206,19936
20190207,20938
20190208,21581
20190209,22436
20190210,23236
20190211,26667
20190212,27768
20190213,27699
20190214,28250
20190215,28262
20190216,25432
20190217,24343
20190218,28645
20190219,28876
20190220,29078
20190221,28912
20190222,28420
20190223,26723
20190224,24694
20190225,28084
20190226,28390
20190227,28013
20190228,25472
20190301,24689
20190302,24734
20190303,24102
20190304,27688
20190305,28241
20190306,28032
20190307,28147
20190308,27951
20190309,25870
20190310,24801
20190311,27730
20190312,27936
20190313,28145
20190314,28417
20190315,27757
20190316,25318
20190317,24681
20190318,28338
20190319,28882
20190320,29645
20190321,30343
20190322,29618
20190323,25265
20190324,24812
20190325,28535
20190326,28756
20190327,29140
20190328,30093
20190329,29673
20190330,25810
20190331,24466
